file,TN,FN,FP,TP,Kappa,
blood_trans,586,278,14,42,NA,
biodegrad,809,11,18,373,NA,
breast,1,0,1,30,NA,
ecoli,208,15,0,48,NA,
ionosphere,271,1,0,112,NA,
parkinson,211,12,0,54,NA,
seeds,196,0,0,70,NA,
blood_trans,593,295,7,25,NA,
biodegrad,716,27,4,328,NA,
breast,82,8,0,0,NA,
ecoli,215,0,0,62,NA,
ionosphere,240,12,0,49,NA,
parkinson,203,8,0,53,NA,
seeds,199,1,0,65,NA,
blood_trans,600,292,0,0,NA,
biodegrad,712,10,8,359,NA,
breast,1,0,1,30,NA,
ecoli,220,1,0,69,NA,
ionosphere,240,11,0,64,NA,
parkinson,210,5,0,56,NA,
seeds,191,4,4,62,NA,
blood_trans,599,286,1,15,NA,
biodegrad,707,14,13,350,NA,
breast,2,0,0,35,NA,
ecoli,218,17,0,49,NA,
ionosphere,263,17,0,87,NA,
parkinson,204,0,0,64,NA,
seeds,196,0,6,66,NA,
blood_trans,587,248,13,72,NA,
biodegrad,717,44,3,308,NA,
breast,1,0,1,30,NA,
ecoli,218,0,0,70,NA,
ionosphere,259,6,0,100,NA,
parkinson,206,2,0,68,NA,
seeds,195,13,7,58,NA,
blood_trans,600,296,0,0,NA,
biodegrad,710,24,10,332,NA,
breast,30,1,0,1,NA,
ecoli,222,2,4,64,NA,
ionosphere,264,9,0,73,NA,
parkinson,210,9,0,52,NA,
seeds,195,0,4,65,NA,
blood_trans,551,173,49,137,NA,
biodegrad,712,15,8,344,NA,
breast,35,0,0,2,NA,
ecoli,150,5,0,35,NA,
ionosphere,255,6,1,96,NA,
parkinson,211,1,0,63,NA,
seeds,196,6,4,57,NA,
blood_trans,551,141,49,179,NA,
biodegrad,711,14,9,347,NA,
breast,30,1,0,1,NA,
ecoli,213,9,0,54,NA,
ionosphere,265,3,0,74,NA,
parkinson,212,0,0,66,NA,
seeds,196,0,2,65,NA,
blood_trans,569,134,31,186,NA,
biodegrad,706,10,14,349,NA,
breast,30,1,0,1,NA,
ecoli,214,14,0,46,NA,
ionosphere,262,13,0,71,NA,
parkinson,211,11,0,56,NA,
seeds,194,0,0,63,NA,
blood_trans,554,159,46,161,NA,
biodegrad,713,8,7,363,NA,
breast,35,0,0,2,NA,
ecoli,229,0,0,64,NA,
ionosphere,375,0,0,128,NA,
parkinson,165,4,0,33,NA,
seeds,193,4,3,62,NA,
fertility,90,2,0,6,NA,
liver,417,206,3,18,NA,
mammo,405,32,45,184,NA,
fertility,90,2,0,6,NA,
liver,381,90,39,107,NA,
mammo,381,51,69,163,NA,
fertility,90,1,0,8,NA,
liver,398,107,22,96,NA,
mammo,369,51,81,168,NA,
fertility,115,0,0,19,NA,
liver,420,209,0,0,NA,
mammo,644,128,2,112,NA,
fertility,90,4,0,5,NA,
liver,469,159,12,65,NA,
mammo,426,94,24,111,NA,
fertility,115,0,0,25,NA,
liver,420,209,0,0,NA,
mammo,376,41,74,176,NA,
fertility,90,2,0,10,NA,
liver,355,36,65,165,NA,
mammo,415,85,35,128,NA,
fertility,90,6,0,0,NA,
liver,420,224,0,0,NA,
mammo,607,57,40,183,NA,
fertility,90,1,0,7,NA,
liver,420,204,0,0,NA,
mammo,645,101,9,139,NA,
fertility,90,2,0,3,NA,
liver,420,198,0,0,NA,
mammo,396,83,54,129,NA,
haberman,240,29,0,14,NA,
haberman,236,24,4,30,NA,
haberman,238,6,2,73,NA,
haberman,240,49,0,16,NA,
haberman,232,13,8,35,NA,
haberman,282,29,3,52,NA,
haberman,259,13,20,76,NA,
haberman,233,16,7,62,NA,
haberman,237,29,3,20,NA,
haberman,240,41,0,23,NA,
