file,TN,FN,FP,TP,Kappa,
blood_trans,242,122,18,58,NA,
biodegrad,413,20,6,196,NA,
breast,13,1,0,1,NA,
ecoli,123,0,0,37,NA,
ionosphere,135,1,0,63,NA,
parkinson,126,10,0,28,NA,
seeds,111,0,0,34,NA,
blood_trans,238,120,22,60,NA,
biodegrad,309,26,3,176,NA,
breast,48,7,0,0,NA,
ecoli,130,0,0,39,NA,
ionosphere,104,10,0,26,NA,
parkinson,118,4,0,31,NA,
seeds,114,6,0,26,NA,
blood_trans,244,120,16,45,NA,
biodegrad,305,13,7,195,NA,
breast,1,0,1,13,NA,
ecoli,135,1,0,38,NA,
ionosphere,104,5,0,40,NA,
parkinson,125,5,0,34,NA,
seeds,110,1,0,37,NA,
blood_trans,258,144,2,27,NA,
biodegrad,308,22,4,185,NA,
breast,2,0,0,35,NA,
ecoli,133,5,0,31,NA,
ionosphere,127,8,0,51,NA,
parkinson,119,4,0,33,NA,
seeds,117,5,0,30,NA,
blood_trans,244,84,16,96,NA,
biodegrad,309,47,3,153,NA,
breast,13,1,0,1,NA,
ecoli,133,22,0,14,NA,
ionosphere,123,4,0,54,NA,
parkinson,120,3,1,29,NA,
seeds,117,4,0,29,NA,
blood_trans,260,170,0,0,NA,
biodegrad,305,14,7,190,NA,
breast,13,1,0,1,NA,
ecoli,141,5,0,33,NA,
ionosphere,128,11,0,42,NA,
parkinson,123,5,2,35,NA,
seeds,114,0,0,34,NA,
blood_trans,235,90,25,81,NA,
biodegrad,304,20,8,181,NA,
breast,35,0,0,2,NA,
ecoli,65,9,0,17,NA,
ionosphere,118,6,2,54,NA,
parkinson,126,13,0,21,NA,
seeds,112,8,3,28,NA,
blood_trans,224,54,36,126,NA,
biodegrad,311,9,1,193,NA,
breast,13,1,0,1,NA,
ecoli,128,6,0,30,NA,
ionosphere,129,0,0,55,NA,
parkinson,127,1,0,36,NA,
seeds,110,0,3,37,NA,
blood_trans,247,57,13,123,NA,
biodegrad,309,11,3,192,NA,
breast,13,1,0,1,NA,
ecoli,129,13,0,28,NA,
ionosphere,126,22,0,19,NA,
parkinson,126,9,0,27,NA,
seeds,109,0,0,41,NA,
blood_trans,217,43,43,137,NA,
biodegrad,306,4,6,204,NA,
breast,35,0,0,2,NA,
ecoli,144,13,0,28,NA,
ionosphere,230,0,9,72,NA,
parkinson,80,3,0,23,NA,
seeds,111,9,0,29,NA,
fertility,39,2,0,7,NA,
liver,182,123,0,3,NA,
mammo,135,12,60,110,NA,
fertility,39,4,0,3,NA,
liver,159,56,23,58,NA,
mammo,149,21,46,101,NA,
fertility,39,3,0,0,NA,
liver,164,60,18,55,NA,
mammo,156,34,39,87,NA,
fertility,64,1,0,14,NA,
liver,182,118,0,0,NA,
mammo,390,71,1,64,NA,
fertility,39,7,0,0,NA,
liver,231,73,12,53,NA,
mammo,170,46,25,75,NA,
fertility,64,8,0,7,NA,
liver,182,115,0,0,NA,
mammo,164,26,31,98,NA,
fertility,39,3,0,6,NA,
liver,151,7,31,103,NA,
mammo,161,40,34,80,NA,
fertility,39,4,0,0,NA,
liver,182,126,0,0,NA,
mammo,349,25,43,110,NA,
fertility,39,3,0,5,NA,
liver,182,114,0,0,NA,
mammo,399,79,0,56,NA,
fertility,39,1,0,7,NA,
liver,182,112,0,0,NA,
mammo,170,43,25,75,NA,
haberman,104,22,0,5,NA,
haberman,104,36,0,0,NA,
haberman,104,3,0,46,NA,
haberman,104,29,0,0,NA,
haberman,104,18,0,12,NA,
haberman,146,25,3,30,NA,
haberman,132,18,11,39,NA,
haberman,102,14,2,25,NA,
haberman,102,16,2,17,NA,
haberman,104,29,0,5,NA,
blood_trans,228,28,32,152,0.89,
biodegrad,312,4,0,201,0.99,
breast,2,0,0,35,1,
ecoli,144,0,0,38,1,
fertility,39,2,0,6,0.95,
haberman,104,23,0,11,0.82,
liver,167,75,15,32,0.69,
ionosphere,239,0,0,72,1,
mammo,171,50,24,72,0.77,
parkinson,80,2,0,21,0.98,
seeds,111,0,0,33,1,
