file,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.5,0.1,34,32,600,0,0,320,1,
biodegrad,0.5,0.1,204,87,720,0,0,384,1,
breast,0.5,0.1,8,5,60,0,0,9,1,
ecoli,0.5,0.1,16,17,150,0,0,66,1,
fertility,0.5,0.1,34,13,89,0,1,23,1,
haberman,0.5,0.1,32,24,240,0,0,128,1,
liver,0.5,0.1,70,42,420,0,0,224,1,
ionosphere,0.5,0.1,63,49,240,0,0,128,1,
mammo,0.5,0.1,71,49,450,0,0,240,1,
parkinson,0.5,0.1,46,27,150,0,0,62,1,
seeds,0.5,0.1,14,12,150,0,0,68,1,
blood_trans,0.5,0.1,35,29,600,0,0,320,1,
biodegrad,0.5,0.1,206,78,720,0,0,384,1,
breast,0.5,0.1,8,6,60,0,0,9,1,
ecoli,0.5,0.1,21,16,150,0,0,67,1,
fertility,0.5,0.1,35,17,90,0,0,21,1,
haberman,0.5,0.1,28,22,240,0,0,128,1,
liver,0.5,0.1,76,41,420,0,0,224,1,
ionosphere,0.5,0.1,64,64,240,0,0,128,1,
mammo,0.5,0.1,69,43,449,0,1,240,1,
parkinson,0.5,0.1,34,18,150,0,0,65,1,
seeds,0.5,0.1,13,10,150,0,0,68,1,
blood_trans,0.5,0.1,38,27,600,0,0,320,1,
biodegrad,0.5,0.1,224,94,720,0,0,384,1,
breast,0.5,0.1,9,6,60,0,0,6,1,
ecoli,0.5,0.1,15,14,150,0,0,64,1,
fertility,0.5,0.1,35,12,90,0,0,25,1,
haberman,0.5,0.1,35,24,240,0,0,128,1,
liver,0.5,0.1,67,38,420,0,0,224,1,
ionosphere,0.5,0.1,59,49,240,0,0,128,1,
mammo,0.5,0.1,60,45,450,0,0,240,1,
parkinson,0.5,0.1,47,27,150,0,0,62,1,
seeds,0.5,0.1,28,18,150,0,0,66,1,
blood_trans,0.5,0.1,35,30,600,0,0,320,1,
biodegrad,0.5,0.1,211,95,720,0,0,384,1,
breast,0.5,0.1,9,6,60,0,0,6,1,
ecoli,0.5,0.1,15,15,150,0,0,59,1,
fertility,0.5,0.1,39,16,90,0,0,25,1,
haberman,0.5,0.1,31,19,240,0,0,128,1,
liver,0.5,0.1,71,38,420,0,0,224,1,
ionosphere,0.5,0.1,60,58,240,0,0,128,1,
mammo,0.5,0.1,70,51,450,0,0,240,1,
parkinson,0.5,0.1,46,22,150,0,0,60,1,
seeds,0.5,0.1,15,10,150,0,0,63,1,
blood_trans,0.5,0.1,34,29,600,0,0,320,1,
biodegrad,0.5,0.1,219,97,720,0,0,384,1,
breast,1,0.1,8,3,60,0,0,3,1,
ecoli,0.5,0.1,15,18,150,0,0,67,1,
fertility,1,0.1,39,10,90,0,0,18,1,
haberman,0.5,0.1,28,23,240,0,0,128,1,
liver,0.5,0.1,73,41,420,0,0,224,1,
ionosphere,0.5,0.1,64,59,240,0,0,128,1,
mammo,0.5,0.1,71,50,450,0,0,240,1,
parkinson,0.5,0.1,33,16,150,0,0,65,1,
seeds,0.5,0.1,15,13,150,0,0,63,1,
blood_trans,0.5,0.1,35,33,600,0,0,320,1,
biodegrad,0.5,0.1,186,75,720,0,0,384,1,
breast,1,0.1,6,4,60,0,0,6,1,
ecoli,0.5,0.1,15,14,150,0,0,70,1,
fertility,0.5,0.1,39,13,90,0,0,21,1,
haberman,0.5,0.1,31,25,240,0,0,128,1,
liver,0.5,0.1,77,44,420,0,0,224,1,
ionosphere,0.5,0.1,71,58,240,0,0,128,1,
mammo,0.5,0.1,61,40,450,0,0,240,1,
parkinson,0.5,0.1,45,23,150,0,0,64,1,
seeds,0.5,0.1,14,11,150,0,0,60,1,
blood_trans,0.5,0.1,29,27,600,0,0,320,1,
biodegrad,0.5,0.1,234,80,720,0,0,384,1,
breast,0.5,0.1,10,7,60,0,0,8,1,
ecoli,0.5,0.1,22,19,150,0,0,67,1,
fertility,0.5,0.1,38,15,90,0,0,21,1,
haberman,0.5,0.1,31,25,240,0,0,128,1,
liver,0.5,0.1,77,43,420,0,0,224,1,
ionosphere,0.5,0.1,61,58,240,0,0,128,1,
mammo,0.5,0.1,84,59,450,0,0,240,1,
parkinson,0.5,0.1,40,22,150,0,0,66,1,
seeds,0.5,0.1,17,13,150,0,0,65,1,
blood_trans,1,0.1,26,20,600,0,0,320,1,
biodegrad,0.5,0.1,199,81,720,0,0,384,1,
breast,0.5,0.1,7,7,60,0,0,11,1,
ecoli,0.5,0.1,12,8,150,0,0,70,1,
fertility,0.5,0.1,39,17,89,0,1,19,1,
haberman,0.5,0.1,31,23,240,0,0,128,1,
liver,0.5,0.1,78,41,420,0,0,224,1,
ionosphere,0.5,0.1,59,49,240,0,0,128,1,
mammo,1,0.1,60,28,450,0,0,240,1,
parkinson,0.5,0.1,43,28,150,0,0,67,1,
seeds,0.5,0.1,14,9,150,0,0,61,1,
blood_trans,0.5,0.1,34,29,600,0,0,320,1,
biodegrad,0.5,0.1,219,75,720,0,0,384,1,
breast,0.5,0.1,9,5,60,0,0,6,1,
ecoli,0.5,0.1,15,12,150,0,0,63,1,
fertility,0.5,0.1,42,15,90,0,0,19,1,
haberman,0.5,0.1,27,21,240,0,0,128,1,
liver,0.5,0.1,66,38,420,0,0,224,1,
ionosphere,0.5,0.1,62,53,240,0,0,128,1,
mammo,0.5,0.1,73,55,450,0,0,240,1,
parkinson,0.5,0.1,39,21,150,0,0,67,1,
seeds,0.5,0.1,15,12,150,0,0,70,1,
blood_trans,0.5,0.1,39,34,600,0,0,320,1,
biodegrad,0.5,0.1,195,78,720,0,0,384,1,
breast,0.5,0.1,9,6,60,0,0,6,1,
ecoli,0.5,0.1,13,13,150,0,0,67,1,
fertility,0.5,0.1,35,14,90,0,0,22,1,
haberman,0.5,0.1,28,22,240,0,0,128,1,
liver,0.5,0.1,79,38,420,0,0,224,1,
ionosphere,0.5,0.1,58,64,240,0,0,128,1,
mammo,0.5,0.1,64,41,450,0,0,240,1,
parkinson,0.5,0.1,41,18,150,0,0,68,1,
seeds,0.5,0.1,13,10,150,0,0,61,1,
