file,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.5,0.1,38,29,203,0,0,200,1,
biodegrad,0.5,0.1,132,70,243,0,1,240,1,
breast,0.5,0.1,6,3,20,0,0,3,1,
ecoli,0.5,0.1,11,10,50,0,0,41,1,
fertility,0.5,0.1,22,11,30,0,0,14,1,
haberman,0.5,0.1,26,24,81,0,0,80,1,
liver,0.5,0.1,60,36,142,0,0,140,1,
ionosphere,0.5,0.1,38,35,81,0,0,80,1,
mammo,0.5,0.1,53,45,152,0,0,150,1,
parkinson,0.5,0.1,37,23,50,0,0,46,1,
seeds,0.5,0.1,11,9,50,0,0,38,1,
blood_trans,0.5,0.1,34,29,203,0,0,200,1,
biodegrad,0.5,0.1,143,67,244,0,0,240,1,
breast,0.5,0.1,7,4,20,0,0,4,1,
ecoli,0.5,0.1,10,9,50,0,0,36,1,
fertility,0.5,0.1,23,14,28,0,2,15,1,
haberman,0.5,0.1,25,23,81,0,0,80,1,
liver,0.5,0.1,60,37,142,0,0,140,1,
ionosphere,0.5,0.1,40,44,81,0,0,80,1,
mammo,0.5,0.1,48,37,152,0,0,150,1,
parkinson,0.5,0.1,32,18,50,0,0,40,1,
seeds,0.5,0.1,12,11,50,0,0,38,1,
blood_trans,0.5,0.1,29,27,203,0,0,200,1,
biodegrad,0.5,0.1,132,71,244,0,0,240,1,
breast,0.5,0.1,4,4,20,0,0,4,1,
ecoli,0.5,0.1,16,14,50,0,0,41,1,
fertility,0.5,0.1,20,13,30,0,0,14,1,
haberman,0.5,0.1,23,24,81,0,0,80,1,
liver,0.5,0.1,58,36,142,0,0,140,1,
ionosphere,0.5,0.1,36,47,81,0,0,80,1,
mammo,0.5,0.1,48,49,152,0,0,150,1,
parkinson,0.5,0.1,29,21,50,0,0,41,1,
seeds,0.5,0.1,14,8,50,0,0,34,1,
blood_trans,0.5,0.1,32,30,203,0,0,200,1,
biodegrad,0.5,0.1,142,71,244,0,0,240,1,
breast,0.5,0.1,5,4,20,0,0,4,1,
ecoli,0.5,0.1,10,10,50,0,0,40,1,
fertility,0.5,0.1,17,15,30,0,0,18,1,
haberman,0.5,0.1,24,24,81,0,0,80,1,
liver,0.5,0.1,59,37,142,0,0,140,1,
ionosphere,0.5,0.1,38,41,81,0,0,80,1,
mammo,0.5,0.1,43,36,152,0,0,150,1,
parkinson,0.5,0.1,35,21,50,0,0,36,1,
seeds,0.5,0.1,13,9,50,0,0,42,1,
blood_trans,0.5,0.1,35,27,203,0,0,200,1,
biodegrad,0.5,0.1,145,62,244,0,0,240,1,
breast,0.5,0.1,7,6,20,0,0,11,1,
ecoli,0.5,0.1,10,8,50,0,0,42,1,
fertility,0.5,0.1,25,15,30,0,0,17,1,
haberman,0.5,0.1,22,23,81,0,0,80,1,
liver,0.5,0.1,60,43,142,0,0,140,1,
ionosphere,0.5,0.1,46,43,81,0,0,80,1,
