file,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
mammo,0.5,0.1,45,43,152,0,0,150,1,
parkinson,0.5,0.1,29,17,50,0,0,37,1,
seeds,0.5,0.1,11,8,50,0,0,43,1,
blood_trans,0.5,0.1,28,25,203,0,0,200,1,
biodegrad,0.5,0.1,137,67,244,0,0,240,1,
breast,0.5,0.1,7,5,20,0,0,6,1,
ecoli,0.5,0.1,9,10,50,0,0,40,1,
fertility,1,0.1,22,6,30,0,0,8,1,
haberman,0.5,0.1,23,23,81,0,0,80,1,
liver,0.5,0.1,68,40,142,0,0,140,1,
ionosphere,0.5,0.1,47,47,81,0,0,80,1,
mammo,0.5,0.1,49,41,152,0,0,150,1,
parkinson,0.5,0.1,28,16,50,0,0,44,1,
seeds,0.5,0.1,10,9,50,0,0,42,1,
blood_trans,0.5,0.1,30,26,203,0,0,200,1,
biodegrad,1,0.1,142,55,244,0,0,240,1,
breast,0.5,0.1,6,5,20,0,0,7,1,
ecoli,0.5,0.1,12,12,50,0,0,33,1,
fertility,0.5,0.1,23,11,30,0,0,12,1,
haberman,0.5,0.1,21,17,81,0,0,80,1,
liver,0.5,0.1,52,36,142,0,0,140,1,
ionosphere,0.5,0.1,37,36,81,0,0,80,1,
mammo,0.5,0.1,50,38,152,0,0,150,1,
parkinson,0.5,0.1,29,18,50,0,0,40,1,
seeds,0.5,0.1,15,11,50,0,0,37,1,
blood_trans,0.5,0.1,31,25,203,0,0,200,1,
biodegrad,0.5,0.1,138,76,244,0,0,240,1,
breast,0.5,0.1,5,4,20,0,0,7,1,
ecoli,0.5,0.1,10,11,49,0,1,43,1,
fertility,0.5,0.1,21,12,30,0,0,14,1,
haberman,0.5,0.1,24,20,81,0,0,80,1,
liver,0.5,0.1,58,33,142,0,0,140,1,
ionosphere,0.5,0.1,41,43,81,0,0,80,1,
mammo,0.5,0.1,58,42,152,0,0,150,1,
parkinson,0.5,0.1,27,18,50,0,0,38,1,
seeds,0.5,0.1,12,10,50,0,0,42,1,
blood_trans,0.5,0.1,33,29,203,0,0,200,1,
biodegrad,0.5,0.1,158,83,244,0,0,240,1,
breast,0.5,0.1,6,4,20,0,0,5,1,
ecoli,0.5,0.1,11,11,50,0,0,44,1,
fertility,0.5,0.1,27,13,30,0,0,15,1,
haberman,0.5,0.1,24,22,81,0,0,80,1,
liver,0.5,0.1,61,35,142,0,0,140,1,
ionosphere,0.5,0.1,39,38,81,0,0,80,1,
mammo,0.5,0.1,46,47,151,0,1,150,1,
parkinson,0.5,0.1,25,11,50,0,0,42,1,
seeds,0.5,0.1,10,8,50,0,0,38,1,
blood_trans,0.5,0.1,27,24,203,0,0,200,1,
biodegrad,1,0.1,135,56,244,0,0,240,1,
breast,0.5,0.1,6,4,20,0,0,4,1,
ecoli,0.5,0.1,12,13,50,0,0,40,1,
fertility,0.5,0.1,22,13,30,0,0,19,1,
haberman,0.5,0.1,27,20,81,0,0,80,1,
liver,0.5,0.1,61,34,142,0,0,140,1,
ionosphere,0.5,0.1,42,43,81,0,0,80,1,
mammo,0.5,0.1,44,38,152,0,0,150,1,
parkinson,0.5,0.1,30,15,50,0,0,40,1,
seeds,0.5,0.1,12,10,50,0,0,44,1,
