file,P0,P1,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
haberman,0.1,4,0.1,0.5,4,158,0,0,158,8,NaN,
liver,0.1,4,0.1,0.5,9,281,36,0,254,14,1,
ionosphere,0.1,8,0.1,0.5,2,146,44,0,114,8,1,
mammo,0.1,6,0.1,0.5,5,228,130,0,170,15,1,
parkinson,0.1,2,0.1,0.5,4,77,54,0,49,5,1,
seeds,0.1,2,0.1,0.5,4,62,60,0,38,5,1,
blood_trans,0.1,6,0.1,0.5,7,396,47,0,352,20,1,
biodegrad,0.1,16,0.1,0.5,3,401,126,0,364,24,1,
breast,0.1,2,0.1,0.5,2,22,30,0,5,2,1,
ecoli,0.1,2,0.1,0.5,4,60,89,0,12,5,1,
fertility,0.1,4,0.1,0.5,2,57,26,0,36,3,1,
haberman,0.1,4,0.1,0.5,5,158,0,0,158,8,NaN,
liver,0.1,4,0.1,0.5,8,267,72,0,218,14,1,
ionosphere,0.1,8,0.1,0.5,2,148,18,0,140,8,1,
mammo,0.1,8,0.1,0.5,6,294,124,0,176,15,1,
parkinson,0.1,2,0.1,0.5,4,77,59,0,44,5,1,
seeds,0.1,2,0.1,0.5,3,58,66,0,32,5,1,
