"file","cost","n","sigma","P0","P1"
"biodegrad",0.1,9,0.5,0.5,20
"blood_trans",0.1,9,0.5,0.5,20
"breast",0.1,10,0.5,0.5,4
"ecoli",0.1,10,0.5,0.5,2
"fertility",0.1,10,0.5,0.5,6
"haberman",0.1,10,0.5,0.5,14
"ionosphere",0.1,8,0.5,0.5,20
"liver",0.1,9,0.5,0.5,14
"mammo",0.1,8,0.5,0.5,20
"parkinson",0.1,10,0.5,0.5,6
"seeds",0.1,10,0.5,0.5,4
