"file","cost","n","sigma","P0","P1"
"biodegrad",0.1,10,0.5,0.1,16
"blood_trans",0.1,10,0.5,0.1,4
"breast",0.1,10,0.5,0.1,2
"ecoli",0.1,10,0.5,0.1,2
"fertility",0.1,10,0.5,0.1,2
"haberman",0.1,10,0.5,0.1,4
"ionosphere",0.1,10,0.5,0.1,6
"liver",0.1,10,0.5,0.1,4
"mammo",0.1,10,0.5,0.1,6
"parkinson",0.1,10,0.5,0.1,2
"seeds",0.1,10,0.5,0.1,2
