file,TN,FN,FP,TP,Kappa,
blood_trans,223,58,37,118,0.79,
biodegrad,312,1,0,200,1,
breast,35,0,0,2,1,
ecoli,129,8,0,26,0.94,
fertility,69,1,1,12,0.99,
haberman,142,14,5,30,0.91,
liver,182,117,0,0,0.61,
ionosphere,104,3,0,31,0.97,
mammo,127,13,68,111,0.91,
parkinson,123,0,0,40,1,
seeds,108,0,0,39,1,
blood_trans,196,21,64,159,0.9,
biodegrad,312,2,0,202,0.99,
breast,13,1,1,1,0.93,
ecoli,132,0,0,37,1,
fertility,64,1,0,11,0.98,
haberman,99,5,5,40,0.95,
liver,179,118,3,8,0.6,
ionosphere,104,7,0,34,0.94,
mammo,158,34,37,93,0.82,
parkinson,127,0,0,38,1,
seeds,113,0,0,39,1,
blood_trans,223,25,37,155,0.9,
biodegrad,312,3,0,199,0.99,
breast,35,0,0,2,1,
ecoli,135,0,0,36,1,
fertility,39,3,0,4,0.93,
haberman,104,9,0,25,0.92,
liver,154,53,28,68,0.74,
ionosphere,104,8,0,25,0.93,
mammo,180,53,15,74,0.77,
parkinson,121,1,0,36,0.99,
seeds,110,0,0,39,1,
blood_trans,234,25,26,155,0.9,
biodegrad,311,3,1,199,0.99,
breast,33,0,2,2,1,
ecoli,130,0,0,40,1,
fertility,39,5,0,0,0.89,
haberman,104,4,0,33,0.96,
liver,182,116,0,0,0.61,
ionosphere,131,2,0,59,0.98,
mammo,179,45,16,77,0.8,
parkinson,125,1,0,36,0.99,
seeds,112,0,0,38,1,
blood_trans,244,44,16,136,0.85,
biodegrad,312,18,0,187,0.95,
breast,52,4,0,0,0.93,
ecoli,134,0,0,36,1,
fertility,67,0,0,11,1,
haberman,146,33,0,18,0.82,
liver,176,91,6,21,0.66,
ionosphere,104,10,0,29,0.91,
mammo,137,21,58,103,0.87,
parkinson,126,0,0,37,1,
seeds,113,3,0,34,0.97,
blood_trans,245,70,15,110,0.78,
biodegrad,312,0,0,198,1,
breast,1,0,1,13,0.93,
ecoli,133,0,0,35,1,
fertility,39,2,0,6,0.95,
haberman,104,21,0,21,0.83,
liver,182,126,0,0,0.59,
ionosphere,124,1,0,56,0.99,
mammo,172,39,23,81,0.82,
parkinson,129,0,0,36,1,
seeds,114,3,0,37,0.97,
blood_trans,228,67,32,107,0.77,
biodegrad,312,1,0,215,1,
breast,13,1,0,1,0.93,
ecoli,129,1,0,37,0.99,
fertility,66,1,0,12,0.99,
haberman,103,23,1,22,0.82,
liver,182,118,0,0,0.61,
ionosphere,218,1,0,63,1,
mammo,176,26,19,101,0.87,
parkinson,123,0,0,37,1,
seeds,115,0,2,38,1,
blood_trans,218,27,42,153,0.89,
biodegrad,312,1,0,215,1,
breast,2,0,0,35,1,
ecoli,143,0,0,37,1,
fertility,69,5,0,6,0.93,
haberman,103,22,1,26,0.82,
liver,156,47,26,66,0.77,
ionosphere,104,4,0,40,0.96,
mammo,188,38,7,89,0.83,
parkinson,122,0,0,36,1,
seeds,108,0,0,38,1,
blood_trans,232,52,28,128,0.82,
biodegrad,312,1,0,201,1,
breast,32,0,3,2,1,
ecoli,65,7,0,16,0.9,
fertility,63,1,0,14,0.98,
haberman,104,12,0,16,0.9,
liver,182,126,0,0,0.59,
ionosphere,104,4,0,28,0.96,
mammo,177,60,18,67,0.75,
parkinson,128,0,0,39,1,
seeds,108,0,2,41,1,
blood_trans,208,16,52,149,0.93,
biodegrad,312,1,0,207,1,
breast,51,1,0,2,0.98,
ecoli,136,0,0,38,1,
fertility,39,1,0,6,0.98,
haberman,141,33,2,15,0.81,
liver,182,114,0,0,0.61,
ionosphere,134,2,0,56,0.99,
mammo,169,44,26,79,0.79,
parkinson,122,0,0,33,1,
seeds,114,0,0,37,1,
