file,P0,P1,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
fertility,0.5,10,0.1,0.5,3,45,33,0,29,3,1,
haberman,0.5,20,0.1,0.5,4,139,91,1,67,7,0.99,
liver,0.5,8,0.1,0.5,10,157,204,2,86,12,0.99,
ionosphere,0.5,8,0.1,0.5,4,61,118,2,40,6,0.98,
mammo,0.5,16,0.1,0.5,7,204,201,3,99,12,0.99,
parkinson,0.5,8,0.1,0.5,3,47,63,0,40,5,1,
seeds,0.5,4,0.1,0.5,4,32,82,0,16,5,1,
blood_trans,0.5,14,0.1,0.5,13,305,215,1,184,19,1,
biodegrad,0.5,20,0.1,0.5,6,209,315,4,175,20,0.99,
breast,0.5,4,0.1,0.5,2,13,24,0,11,2,1,
ecoli,0.5,10,0.1,0.5,3,46,68,0,33,5,1,
fertility,0.5,8,0.1,0.5,3,36,44,0,18,3,1,
haberman,0.5,14,0.1,0.5,7,158,0,0,158,8,NaN,
liver,0.5,18,0.1,0.5,6,204,131,0,159,14,1,
ionosphere,0.5,20,0.1,0.5,4,157,6,3,152,5,0.67,
mammo,0.5,14,1,0.5,5,132,182,2,118,13,0.99,
parkinson,0.5,6,0.1,0.5,4,44,70,0,33,5,1,
seeds,0.5,4,0.1,0.5,5,34,86,0,12,5,1,
