file,TN,FN,FP,TP,Kappa,
blood_trans,172,32,30,162,0.84,
biodegrad,243,6,0,218,0.98,
breast,2,0,0,35,1,
ecoli,114,0,0,44,1,
fertility,58,0,3,15,1,
haberman,120,8,3,47,0.94,
liver,108,59,33,77,0.65,
ionosphere,80,6,0,29,0.93,
mammo,87,13,65,123,0.87,
parkinson,108,0,0,40,1,
seeds,93,0,0,39,1,
blood_trans,151,18,52,182,0.89,
biodegrad,243,0,0,231,1,
breast,10,1,1,1,0.91,
ecoli,117,0,0,42,1,
fertility,55,8,0,7,0.87,
haberman,75,4,5,41,0.95,
liver,90,7,52,133,0.93,
ionosphere,80,1,0,37,0.99,
mammo,128,32,24,109,0.8,
parkinson,112,2,0,38,0.98,
seeds,98,0,0,37,1,
blood_trans,170,10,33,190,0.94,
biodegrad,243,0,0,232,1,
breast,2,0,0,35,1,
ecoli,120,0,0,44,1,
fertility,30,7,0,0,0.81,
haberman,78,11,2,23,0.88,
liver,103,41,38,89,0.72,
ionosphere,80,2,0,30,0.98,
mammo,123,39,29,102,0.76,
parkinson,106,1,0,39,0.99,
seeds,95,0,0,37,1,
blood_trans,173,25,30,175,0.87,
biodegrad,242,7,1,219,0.97,
breast,33,0,2,2,1,
ecoli,113,0,2,40,1,
fertility,30,8,0,0,0.79,
haberman,79,3,1,34,0.96,
liver,75,34,66,100,0.69,
ionosphere,108,4,0,61,0.96,
mammo,109,15,43,116,0.88,
parkinson,110,1,0,36,0.99,
seeds,96,0,1,44,1,
blood_trans,178,23,24,177,0.89,
biodegrad,243,12,0,211,0.95,
breast,46,1,0,7,0.98,
ecoli,119,0,0,43,1,
fertility,58,1,0,19,0.98,
haberman,120,15,2,38,0.89,
liver,96,17,45,103,0.85,
ionosphere,80,5,0,31,0.94,
mammo,91,11,60,126,0.89,
parkinson,111,1,0,41,0.99,
seeds,98,0,0,39,1,
blood_trans,146,21,57,179,0.87,
biodegrad,243,0,0,224,1,
breast,10,1,0,1,0.91,
ecoli,118,0,0,42,1,
fertility,30,2,0,4,0.94,
haberman,77,9,3,30,0.9,
liver,80,30,62,110,0.73,
ionosphere,99,1,2,64,0.99,
mammo,102,9,50,123,0.92,
parkinson,114,0,0,42,1,
seeds,99,0,0,44,1,
blood_trans,160,35,42,158,0.82,
biodegrad,244,0,0,240,1,
breast,10,1,0,1,0.91,
ecoli,114,0,0,43,1,
fertility,57,2,0,11,0.97,
haberman,76,11,4,34,0.87,
liver,109,53,32,76,0.67,
ionosphere,193,1,2,70,0.99,
mammo,117,16,35,125,0.88,
parkinson,108,0,0,41,1,
seeds,102,0,0,37,1,
blood_trans,161,24,41,176,0.87,
biodegrad,233,3,11,237,0.99,
breast,35,0,0,2,1,
ecoli,127,0,1,46,1,
fertility,60,7,0,6,0.9,
haberman,78,15,2,23,0.84,
liver,93,23,49,104,0.8,
ionosphere,80,3,0,46,0.96,
mammo,124,34,28,107,0.78,
parkinson,107,0,0,39,1,
seeds,93,0,0,43,1,
blood_trans,178,45,25,155,0.8,
biodegrad,243,2,0,222,0.99,
breast,32,0,3,2,1,
ecoli,50,6,0,17,0.89,
fertility,54,1,0,13,0.98,
haberman,79,10,1,22,0.89,
liver,79,21,63,119,0.79,
ionosphere,80,5,0,37,0.94,
mammo,87,12,65,129,0.88,
parkinson,113,0,0,40,1,
seeds,94,0,1,41,1,
blood_trans,154,9,48,173,0.94,
biodegrad,243,1,0,230,1,
breast,45,0,0,7,1,
ecoli,121,0,0,45,1,
fertility,30,1,0,6,0.97,
haberman,117,37,2,9,0.76,
liver,67,26,74,100,0.72,
ionosphere,111,2,0,60,0.98,
mammo,135,49,17,86,0.73,
parkinson,107,0,0,43,1,
seeds,99,0,0,38,1,
