file,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.5,0.1,32,29,203,0,0,200,1,
biodegrad,0.5,0.1,146,76,244,0,0,240,1,
breast,0.5,0.1,5,5,20,0,0,6,1,
ecoli,0.5,0.1,13,15,50,0,0,39,1,
fertility,0.5,0.1,20,11,30,0,0,16,1,
haberman,0.5,0.1,24,21,81,0,0,80,1,
liver,0.5,0.1,61,36,142,0,0,140,1,
ionosphere,0.5,0.1,41,48,81,0,0,80,1,
mammo,0.5,0.1,55,44,152,0,0,150,1,
parkinson,0.5,0.1,32,19,50,0,0,47,1,
seeds,0.5,0.1,15,11,50,0,0,43,1,
blood_trans,0.5,0.1,26,26,202,0,1,200,1,
biodegrad,0.5,0.1,131,73,244,0,0,240,1,
breast,0.5,0.1,6,6,20,0,0,7,1,
ecoli,0.5,0.1,10,11,50,0,0,42,1,
fertility,1,0.1,20,8,30,0,0,15,1,
haberman,0.5,0.1,22,22,81,0,0,80,1,
liver,0.5,0.1,60,32,142,0,0,140,1,
ionosphere,0.5,0.1,40,48,81,0,0,80,1,
mammo,0.5,0.1,45,41,152,0,0,150,1,
parkinson,0.5,0.1,32,18,50,0,0,40,1,
seeds,0.5,0.1,13,8,50,0,0,45,1,
blood_trans,0.5,0.1,28,25,203,0,0,200,1,
biodegrad,0.5,0.1,145,91,244,0,0,240,1,
breast,0.5,0.1,5,2,20,0,0,2,1,
ecoli,0.5,0.1,9,11,50,0,0,40,1,
fertility,0.5,0.1,27,11,30,0,0,14,1,
haberman,0.5,0.1,25,21,81,0,0,80,1,
liver,0.5,0.1,59,39,142,0,0,140,1,
ionosphere,0.5,0.1,39,50,81,0,0,80,1,
mammo,1,0.1,34,25,152,0,0,150,1,
parkinson,0.5,0.1,32,24,50,0,0,42,1,
seeds,0.5,0.1,10,7,50,0,0,40,1,
blood_trans,0.5,0.1,29,24,203,0,0,200,1,
biodegrad,0.5,0.1,137,60,244,0,0,240,1,
breast,1,0.1,6,3,20,0,0,3,1,
ecoli,0.5,0.1,10,12,50,0,0,36,1,
fertility,0.5,0.1,20,9,30,0,0,9,1,
haberman,0.5,0.1,20,21,81,0,0,80,1,
liver,0.5,0.1,57,41,142,0,0,140,1,
ionosphere,0.5,0.1,47,45,81,0,0,80,1,
mammo,2.5,0.1,39,17,152,0,0,150,1,
parkinson,0.5,0.1,26,16,50,0,0,47,1,
seeds,0.5,0.1,14,11,50,0,0,44,1,
blood_trans,0.5,0.1,32,27,203,0,0,200,1,
biodegrad,0.5,0.1,152,71,244,0,0,240,1,
breast,1,0.1,7,3,20,0,0,3,1,
ecoli,0.5,0.1,11,13,50,0,0,42,1,
fertility,0.5,0.1,24,12,30,0,0,16,1,
haberman,0.5,0.1,21,22,81,0,0,80,1,
liver,0.5,0.1,63,38,142,0,0,140,1,
ionosphere,0.5,0.1,40,47,81,0,0,80,1,
mammo,0.5,0.1,61,48,152,0,0,150,1,
parkinson,0.5,0.1,34,21,50,0,0,43,1,
seeds,0.5,0.1,13,12,50,0,0,43,1,
blood_trans,0.5,0.1,27,27,203,0,0,200,1,
biodegrad,0.5,0.1,136,72,243,0,1,240,1,
breast,1.5,0.1,6,3,20,0,0,3,1,
ecoli,0.5,0.1,10,11,50,0,0,40,1,
fertility,0.5,0.1,24,13,30,0,0,13,1,
haberman,0.5,0.1,24,21,81,0,0,80,1,
liver,0.5,0.1,66,40,142,0,0,140,1,
ionosphere,0.5,0.1,39,37,80,0,1,80,1,
mammo,0.5,0.1,61,47,152,0,0,150,1,
parkinson,0.5,0.1,27,17,50,0,0,41,1,
seeds,0.5,0.1,15,13,50,0,0,41,1,
blood_trans,0.5,0.1,31,27,203,0,0,200,1,
biodegrad,0.5,0.1,140,77,244,0,0,240,1,
breast,0.5,0.1,6,5,20,0,0,5,1,
ecoli,0.5,0.1,12,13,50,0,0,37,1,
fertility,0.5,0.1,22,10,30,0,0,16,1,
haberman,0.5,0.1,22,22,81,0,0,80,1,
liver,0.5,0.1,55,38,142,0,0,140,1,
ionosphere,0.5,0.1,37,44,81,0,0,80,1,
mammo,0.5,0.1,46,35,152,0,0,150,1,
parkinson,0.5,0.1,30,15,50,0,0,40,1,
seeds,0.5,0.1,13,10,50,0,0,48,1,
blood_trans,0.5,0.1,32,26,202,0,1,200,1,
biodegrad,0.5,0.1,141,66,243,0,1,240,1,
breast,0.5,0.1,6,4,20,0,0,5,1,
