file,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
ecoli,0.5,0.1,8,11,50,0,0,46,1,
fertility,1,0.1,23,8,29,0,1,10,1,
haberman,0.5,0.1,24,20,81,0,0,80,1,
liver,0.5,0.1,52,32,142,0,0,140,1,
ionosphere,0.5,0.1,41,39,81,0,0,80,1,
mammo,0.5,0.1,57,46,152,0,0,150,1,
parkinson,0.5,0.1,31,17,50,0,0,44,1,
seeds,0.5,0.1,14,12,50,0,0,43,1,
blood_trans,0.5,0.1,33,30,203,0,0,200,1,
biodegrad,0.5,0.1,151,78,244,0,0,240,1,
breast,0.5,0.1,8,4,20,0,0,4,1,
ecoli,0.5,0.1,15,14,50,0,0,36,1,
fertility,0.5,0.1,22,12,30,0,0,13,1,
haberman,0.5,0.1,21,21,81,0,0,80,1,
liver,0.5,0.1,57,32,142,0,0,140,1,
ionosphere,0.5,0.1,39,40,81,0,0,80,1,
mammo,0.5,0.1,44,39,152,0,0,150,1,
parkinson,0.5,0.1,34,28,50,0,0,44,1,
seeds,0.5,0.1,16,14,50,0,0,45,1,
blood_trans,0.5,0.1,31,26,203,0,0,200,1,
biodegrad,0.5,0.1,144,80,243,0,1,240,1,
breast,1,0.1,7,3,20,0,0,3,1,
ecoli,0.5,0.1,9,13,50,0,0,45,1,
fertility,0.5,0.1,21,14,30,0,0,14,1,
haberman,0.5,0.1,24,21,81,0,0,80,1,
liver,0.5,0.1,55,32,142,0,0,140,1,
ionosphere,0.5,0.1,39,44,81,0,0,80,1,
mammo,1,0.1,46,32,152,0,0,150,1,
parkinson,0.5,0.1,25,17,50,0,0,47,1,
seeds,0.5,0.1,12,11,50,0,0,41,1,
