file,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.5,0.1,33,31,260,0,0,180,1,
biodegrad,0.5,0.1,163,78,312,0,0,216,1,
breast,0.5,0.1,6,4,26,0,0,4,1,
ecoli,0.5,0.1,15,17,65,0,0,38,1,
fertility,0.5,0.1,27,12,39,0,0,18,1,
haberman,0.5,0.1,26,20,104,0,0,72,1,
liver,0.5,0.1,64,35,182,0,0,126,1,
ionosphere,0.5,0.1,50,48,104,0,0,72,1,
mammo,0.5,0.1,60,42,195,0,0,135,1,
parkinson,0.5,0.1,32,20,65,0,0,35,1,
seeds,0.5,0.1,15,10,65,0,0,40,1,
blood_trans,0.5,0.1,27,25,259,0,1,180,1,
biodegrad,1,0.1,145,52,312,0,0,216,1,
breast,0.5,0.1,6,7,26,0,0,8,1,
ecoli,0.5,0.1,9,8,65,0,0,35,1,
fertility,0.5,0.1,28,14,39,0,0,15,1,
haberman,0.5,0.1,23,22,104,0,0,72,1,
liver,0.5,0.1,65,32,182,0,0,126,1,
ionosphere,0.5,0.1,43,43,104,0,0,72,1,
mammo,0.5,0.1,56,43,195,0,0,135,1,
parkinson,0.5,0.1,34,19,65,0,0,39,1,
seeds,0.5,0.1,13,10,65,0,0,38,1,
blood_trans,0.5,0.1,30,26,260,0,0,180,1,
biodegrad,0.5,0.1,152,88,312,0,0,216,1,
breast,0.5,0.1,6,4,26,0,0,7,1,
ecoli,0.5,0.1,11,10,65,0,0,39,1,
fertility,0.5,0.1,25,12,39,0,0,13,1,
haberman,0.5,0.1,25,21,104,0,0,72,1,
liver,0.5,0.1,69,37,182,0,0,126,1,
ionosphere,0.5,0.1,49,50,104,0,0,72,1,
mammo,0.5,0.1,46,40,195,0,0,135,1,
parkinson,0.5,0.1,37,19,65,0,0,34,1,
seeds,0.5,0.1,13,10,65,0,0,41,1,
blood_trans,0.5,0.1,31,23,260,0,0,180,1,
biodegrad,0.5,0.1,162,69,312,0,0,216,1,
breast,0.5,0.1,6,5,26,0,0,5,1,
ecoli,0.5,0.1,12,12,65,0,0,39,1,
fertility,0.5,0.1,28,12,39,0,0,15,1,
haberman,0.5,0.1,16,17,104,0,0,72,1,
liver,0.5,0.1,73,39,182,0,0,126,1,
ionosphere,0.5,0.1,48,42,104,0,0,72,1,
mammo,0.5,0.1,63,52,194,0,1,135,1,
parkinson,0.5,0.1,33,15,65,0,0,38,1,
seeds,0.5,0.1,13,11,65,0,0,37,1,
blood_trans,0.5,0.1,31,26,260,0,0,180,1,
biodegrad,0.5,0.1,168,74,312,0,0,216,1,
breast,0.5,0.1,10,7,26,0,0,7,1,
ecoli,0.5,0.1,12,11,65,0,0,41,1,
fertility,0.5,0.1,25,12,39,0,0,14,1,
haberman,0.5,0.1,25,22,104,0,0,72,1,
liver,0.5,0.1,65,37,182,0,0,126,1,
ionosphere,0.5,0.1,49,43,104,0,0,72,1,
mammo,0.5,0.1,63,48,195,0,0,135,1,
parkinson,0.5,0.1,32,20,65,0,0,36,1,
seeds,0.5,0.1,17,12,65,0,0,35,1,
blood_trans,0.5,0.1,31,28,260,0,0,180,1,
biodegrad,0.5,0.1,160,73,312,0,0,216,1,
breast,1,0.1,7,5,26,0,0,6,1,
ecoli,0.5,0.1,13,10,65,0,0,39,1,
fertility,1,0.1,25,8,39,0,0,11,1,
haberman,0.5,0.1,25,22,104,0,0,72,1,
liver,0.5,0.1,68,38,182,0,0,126,1,
ionosphere,0.5,0.1,43,44,104,0,0,72,1,
mammo,0.5,0.1,57,47,195,0,0,135,1,
parkinson,0.5,0.1,29,17,65,0,0,39,1,
seeds,0.5,0.1,14,13,65,0,0,35,1,
blood_trans,0.5,0.1,34,28,260,0,0,180,1,
biodegrad,0.5,0.1,150,69,312,0,0,216,1,
breast,0.5,0.1,7,6,25,0,1,8,1,
ecoli,0.5,0.1,14,15,65,0,0,34,1,
fertility,0.5,0.1,29,15,39,0,0,18,1,
haberman,0.5,0.1,24,24,104,0,0,72,1,
liver,0.5,0.1,62,36,182,0,0,126,1,
ionosphere,0.5,0.1,39,41,104,0,0,72,1,
mammo,0.5,0.1,43,34,195,0,0,135,1,
parkinson,0.5,0.1,23,15,65,0,0,40,1,
seeds,0.5,0.1,15,12,65,0,0,40,1,
