file,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.5,0.1,39,29,600,0,0,320,1,
biodegrad,0.5,0.1,214,86,720,0,0,384,1,
breast,0.5,0.1,9,6,60,0,0,7,1,
ecoli,0.5,0.1,13,12,150,0,0,72,1,
fertility,0.5,0.1,46,17,90,0,0,27,1,
haberman,0.5,0.1,32,23,240,0,0,128,1,
liver,0.5,0.1,73,39,420,0,0,224,1,
ionosphere,0.5,0.1,56,46,240,0,0,128,1,
mammo,0.5,0.1,70,53,450,0,0,240,1,
parkinson,0.5,0.1,47,26,150,0,0,67,1,
seeds,0.5,0.1,18,12,150,0,0,63,1,
blood_trans,0.5,0.1,36,30,600,0,0,320,1,
biodegrad,0.5,0.1,206,76,720,0,0,384,1,
breast,0.5,0.1,8,5,60,0,0,7,1,
ecoli,0.5,0.1,15,12,150,0,0,59,1,
fertility,0.5,0.1,39,15,89,0,1,20,1,
haberman,0.5,0.1,28,23,240,0,0,128,1,
liver,0.5,0.1,88,38,420,0,0,224,1,
ionosphere,0.5,0.1,70,61,240,0,0,128,1,
mammo,0.5,0.1,71,41,450,0,0,240,1,
parkinson,0.5,0.1,40,21,150,0,0,63,1,
seeds,0.5,0.1,18,14,150,0,0,64,1,
blood_trans,0.5,0.1,35,30,600,0,0,320,1,
biodegrad,0.5,0.1,206,85,720,0,0,384,1,
breast,0.5,0.1,6,6,60,0,0,7,1,
ecoli,0.5,0.1,22,20,150,0,0,64,1,
fertility,0.5,0.1,41,16,90,0,0,30,1,
haberman,0.5,0.1,29,22,240,0,0,128,1,
liver,0.5,0.1,80,44,420,0,0,224,1,
ionosphere,0.5,0.1,61,58,240,0,0,128,1,
mammo,0.5,0.1,70,54,450,0,0,240,1,
parkinson,0.5,0.1,44,22,150,0,0,62,1,
seeds,0.5,0.1,18,11,150,0,0,67,1,
blood_trans,0.5,0.1,35,30,600,0,0,320,1,
biodegrad,0.5,0.1,230,85,720,0,0,384,1,
breast,0.5,0.1,6,5,60,0,0,8,1,
ecoli,0.5,0.1,13,10,150,0,0,70,1,
fertility,0.5,0.1,41,19,90,0,0,23,1,
haberman,0.5,0.1,26,22,240,0,0,128,1,
liver,0.5,0.1,76,41,420,0,0,224,1,
ionosphere,0.5,0.1,60,52,240,0,0,128,1,
mammo,0.5,0.1,63,46,450,0,0,240,1,
parkinson,0.5,0.1,48,26,150,0,0,69,1,
seeds,0.5,0.1,15,13,150,0,0,68,1,
blood_trans,0.5,0.1,33,27,600,0,0,320,1,
biodegrad,0.5,0.1,198,71,720,0,0,384,1,
breast,0.5,0.1,10,5,60,0,0,5,1,
ecoli,0.5,0.1,11,8,150,0,0,65,1,
fertility,0.5,0.1,41,15,90,0,0,22,1,
haberman,0.5,0.1,29,25,240,0,0,128,1,
liver,0.5,0.1,85,43,420,0,0,224,1,
ionosphere,0.5,0.1,62,53,240,0,0,128,1,
mammo,0.5,0.1,75,52,450,0,0,240,1,
parkinson,0.5,0.1,46,19,150,0,0,64,1,
seeds,0.5,0.1,14,11,150,0,0,66,1,
blood_trans,0.5,0.1,30,28,600,0,0,320,1,
biodegrad,0.5,0.1,211,82,720,0,0,384,1,
breast,0.5,0.1,8,7,60,0,0,9,1,
ecoli,0.5,0.1,13,13,150,0,0,69,1,
fertility,0.5,0.1,37,15,88,0,2,19,1,
haberman,0.5,0.1,25,24,240,0,0,128,1,
liver,0.5,0.1,78,41,420,0,0,224,1,
ionosphere,0.5,0.1,73,60,240,0,0,128,1,
mammo,1,0.1,54,30,450,0,0,240,1,
parkinson,0.5,0.1,35,18,150,0,0,67,1,
seeds,0.5,0.1,13,11,150,0,0,64,1,
blood_trans,0.5,0.1,35,27,600,0,0,320,1,
biodegrad,0.5,0.1,210,83,720,0,0,384,1,
breast,0.5,0.1,11,5,60,0,0,5,1,
ecoli,0.5,0.1,14,15,150,0,0,70,1,
fertility,0.5,0.1,40,14,90,0,0,20,1,
haberman,0.5,0.1,27,18,240,0,0,128,1,
liver,0.5,0.1,77,41,420,0,0,224,1,
ionosphere,0.5,0.1,59,49,240,0,0,128,1,
mammo,0.5,0.1,65,43,448,0,2,240,1,
parkinson,0.5,0.1,45,26,150,0,0,67,1,
seeds,0.5,0.1,19,15,150,0,0,65,1,
blood_trans,0.5,0.1,42,33,600,0,0,320,1,
biodegrad,0.5,0.1,216,82,720,0,0,384,1,
breast,0.5,0.1,6,4,60,0,0,8,1,
ecoli,0.5,0.1,13,13,150,0,0,68,1,
fertility,0.5,0.1,38,17,90,0,0,20,1,
haberman,0.5,0.1,27,20,240,0,0,128,1,
liver,0.5,0.1,68,34,420,0,0,224,1,
