file,TN,FN,FP,TP,Kappa,
blood_trans,149,34,53,150,0.81,
biodegrad,243,3,0,219,0.99,
breast,34,0,1,2,1,
ecoli,118,0,0,46,1,
fertility,30,3,0,2,0.91,
haberman,79,8,1,34,0.91,
liver,106,56,35,75,0.65,
ionosphere,81,2,0,60,0.98,
mammo,117,33,35,105,0.78,
parkinson,110,0,0,40,1,
seeds,96,1,0,37,0.99,
blood_trans,176,40,26,144,0.81,
biodegrad,243,1,0,230,1,
breast,1,0,1,10,0.91,
ecoli,120,0,0,43,1,
fertility,30,6,0,6,0.83,
haberman,80,30,0,6,0.73,
liver,90,22,51,105,0.8,
ionosphere,83,3,21,64,0.97,
mammo,104,9,48,132,0.92,
parkinson,106,0,0,45,1,
seeds,102,0,0,45,1,
blood_trans,179,45,24,155,0.8,
biodegrad,243,1,0,222,1,
breast,1,0,1,10,0.91,
ecoli,50,1,0,27,0.98,
fertility,30,3,0,3,0.91,
haberman,79,19,1,22,0.81,
liver,34,4,108,136,0.89,
ionosphere,102,0,0,53,1,
mammo,105,17,47,117,0.86,
parkinson,109,0,0,42,1,
seeds,91,1,0,35,0.99,
blood_trans,158,22,45,178,0.88,
biodegrad,243,2,0,238,0.99,
breast,35,0,0,2,1,
ecoli,116,0,0,46,1,
fertility,30,4,0,6,0.88,
haberman,77,6,3,41,0.93,
liver,111,55,30,77,0.67,
ionosphere,107,0,0,54,1,
mammo,109,7,43,134,0.94,
parkinson,102,0,0,43,1,
seeds,100,0,0,45,1,
blood_trans,175,34,27,159,0.84,
biodegrad,243,0,0,231,1,
breast,47,0,0,5,1,
ecoli,99,0,0,39,1,
fertility,30,3,0,4,0.91,
haberman,79,22,1,20,0.78,
liver,98,42,43,82,0.7,
ionosphere,112,3,0,51,0.97,
mammo,93,18,59,116,0.84,
parkinson,110,0,0,41,1,
seeds,95,0,0,41,1,
blood_trans,159,31,43,169,0.84,
biodegrad,243,1,0,232,1,
breast,35,0,0,2,1,
ecoli,117,0,0,43,1,
fertility,30,2,0,5,0.94,
haberman,79,10,1,37,0.89,
liver,93,35,49,91,0.73,
ionosphere,80,4,0,48,0.95,
mammo,120,16,32,119,0.88,
parkinson,114,0,0,42,1,
seeds,95,0,0,39,1,
blood_trans,180,36,22,164,0.83,
biodegrad,243,1,0,229,1,
breast,2,0,0,35,1,
ecoli,109,0,0,40,1,
fertility,30,4,0,2,0.88,
haberman,79,7,1,25,0.92,
liver,75,37,66,90,0.67,
ionosphere,80,4,0,41,0.95,
mammo,95,14,57,127,0.87,
parkinson,111,1,0,37,0.99,
seeds,99,0,0,43,1,
blood_trans,144,17,59,183,0.89,
biodegrad,243,2,0,222,0.99,
breast,35,0,0,2,1,
ecoli,122,0,0,40,1,
fertility,30,2,0,6,0.94,
haberman,112,5,15,66,0.96,
liver,109,32,32,90,0.77,
ionosphere,101,3,0,49,0.97,
mammo,96,5,56,136,0.95,
parkinson,104,0,0,45,1,
seeds,96,0,0,43,1,
blood_trans,154,41,48,145,0.79,
biodegrad,239,6,4,226,0.98,
breast,45,0,0,7,1,
ecoli,116,0,0,41,1,
fertility,30,8,0,0,0.79,
haberman,79,15,1,12,0.84,
liver,79,41,62,90,0.66,
ionosphere,106,0,0,56,1,
mammo,149,35,3,99,0.81,
parkinson,116,0,0,44,1,
seeds,99,0,0,40,1,
blood_trans,156,24,47,176,0.87,
biodegrad,241,1,2,226,1,
breast,1,0,1,10,0.91,
ecoli,112,0,1,38,1,
fertility,30,3,0,3,0.91,
haberman,77,13,3,30,0.86,
liver,71,7,71,133,0.91,
ionosphere,105,0,0,46,1,
mammo,100,11,52,130,0.9,
parkinson,106,0,0,42,1,
seeds,98,0,0,41,1,
