file,TN,FN,FP,TP,Kappa,
blood_trans,568,160,32,137,0.78,
biodegrad,719,1,1,356,1,
breast,34,0,1,2,1,
ecoli,218,0,0,63,1,
fertility,90,2,0,8,0.98,
haberman,236,31,4,26,0.88,
liver,410,164,10,38,0.71,
ionosphere,240,2,0,96,0.99,
mammo,407,72,43,142,0.85,
parkinson,210,0,0,63,1,
seeds,196,0,0,66,1,
blood_trans,543,77,57,216,0.88,
biodegrad,719,1,1,368,1,
breast,30,1,0,1,0.97,
ecoli,220,0,0,65,1,
fertility,89,3,1,9,0.97,
haberman,240,46,0,17,0.84,
liver,420,197,0,0,0.68,
ionosphere,264,4,0,98,0.99,
mammo,440,102,10,123,0.81,
parkinson,206,0,0,66,1,
seeds,202,0,0,70,1,
blood_trans,559,94,41,226,0.86,
biodegrad,720,2,0,364,1,
breast,30,1,0,1,0.97,
ecoli,150,1,0,39,0.99,
fertility,90,4,0,4,0.96,
haberman,234,36,6,30,0.87,
liver,420,224,0,0,0.65,
ionosphere,262,3,0,56,0.99,
mammo,405,82,45,133,0.83,
parkinson,209,0,0,66,1,
seeds,191,0,0,60,1,
blood_trans,534,95,66,225,0.85,
biodegrad,720,2,0,382,1,
breast,2,0,0,35,1,
ecoli,216,0,0,65,1,
fertility,90,2,0,8,0.98,
haberman,233,16,7,58,0.94,
liver,420,213,0,0,0.66,
ionosphere,267,0,0,75,1,
mammo,450,103,0,122,0.81,
parkinson,202,1,0,58,1,
seeds,200,0,0,66,1,
blood_trans,550,113,50,190,0.83,
biodegrad,717,0,3,370,1,
breast,87,0,0,9,1,
ecoli,199,0,0,64,1,
fertility,90,2,0,7,0.98,
haberman,240,36,0,24,0.87,
liver,420,194,0,0,0.68,
ionosphere,272,2,0,91,0.99,
mammo,434,90,16,124,0.83,
parkinson,210,1,0,63,1,
seeds,195,0,0,61,1,
blood_trans,541,96,59,224,0.85,
biodegrad,720,1,0,369,1,
breast,35,0,0,2,1,
ecoli,217,0,0,71,1,
fertility,90,4,0,0,0.96,
haberman,236,13,4,63,0.95,
liver,420,204,0,0,0.67,
ionosphere,240,5,0,68,0.98,
mammo,415,45,35,170,0.9,
parkinson,214,0,0,59,1,
seeds,195,0,0,63,1,
blood_trans,577,75,23,245,0.88,
biodegrad,717,27,3,340,0.96,
breast,35,0,0,2,1,
ecoli,209,0,0,73,1,
fertility,90,7,0,1,0.93,
haberman,237,9,3,52,0.96,
liver,420,207,0,0,0.67,
ionosphere,240,4,0,64,0.98,
mammo,445,133,5,92,0.77,
parkinson,211,0,0,61,1,
seeds,199,0,0,64,1,
blood_trans,537,75,63,245,0.88,
biodegrad,720,1,0,359,1,
breast,2,0,0,35,1,
ecoli,222,0,0,67,1,
fertility,90,6,0,5,0.94,
haberman,271,25,15,88,0.92,
liver,387,126,33,71,0.75,
ionosphere,261,2,0,77,0.99,
mammo,357,35,93,190,0.91,
parkinson,204,0,0,65,1,
seeds,196,0,0,65,1,
blood_trans,551,107,49,201,0.84,
biodegrad,718,4,2,362,0.99,
breast,85,0,0,8,1,
ecoli,216,0,0,65,1,
fertility,88,2,2,10,0.98,
haberman,240,40,0,7,0.86,
liver,420,207,0,0,0.67,
ionosphere,266,3,0,77,0.99,
mammo,439,87,11,128,0.83,
parkinson,216,0,0,61,1,
seeds,199,0,0,67,1,
blood_trans,540,66,60,254,0.89,
biodegrad,720,4,0,354,0.99,
breast,1,0,1,30,0.97,
ecoli,212,0,1,67,1,
fertility,90,5,0,0,0.95,
haberman,234,38,6,22,0.86,
liver,395,148,25,76,0.73,
ionosphere,265,3,0,75,0.99,
mammo,412,64,38,161,0.87,
parkinson,206,1,0,64,1,
seeds,198,0,0,56,1,
