file,TN,FN,FP,TP,Kappa,
blood_trans,177,16,26,184,0.92,
biodegrad,242,0,1,226,1,
breast,29,0,6,2,1,
ecoli,120,0,1,42,1,
fertility,30,4,0,3,0.88,
haberman,78,7,2,39,0.92,
liver,94,52,47,76,0.64,
ionosphere,95,0,3,71,1,
mammo,101,24,51,112,0.81,
parkinson,116,0,0,42,1,
seeds,94,0,1,46,1,
blood_trans,172,40,30,148,0.81,
biodegrad,243,1,0,225,1,
breast,47,4,0,0,0.92,
ecoli,101,0,0,5,1,
fertility,30,2,0,7,0.94,
haberman,80,41,0,8,0.66,
liver,75,22,66,100,0.77,
ionosphere,80,0,0,37,1,
mammo,108,14,44,127,0.89,
parkinson,111,0,0,44,1,
seeds,93,0,0,38,1,
blood_trans,167,20,36,180,0.89,
biodegrad,243,1,0,222,1,
breast,10,0,0,2,1,
ecoli,116,0,0,38,1,
fertility,53,2,0,12,0.96,
haberman,80,14,0,28,0.85,
liver,70,39,71,90,0.64,
ionosphere,80,0,0,43,1,
mammo,116,13,36,125,0.9,
parkinson,109,0,0,36,1,
seeds,97,0,0,42,1,
blood_trans,153,21,49,179,0.88,
biodegrad,239,1,4,231,1,
breast,2,0,0,35,1,
ecoli,112,0,0,45,1,
fertility,30,2,0,6,0.94,
haberman,78,11,2,30,0.88,
liver,120,81,21,55,0.6,
ionosphere,79,0,2,62,1,
mammo,112,35,40,102,0.76,
parkinson,109,0,0,43,1,
seeds,98,0,0,38,1,
blood_trans,143,12,59,188,0.92,
biodegrad,242,1,1,222,1,
breast,2,0,0,35,1,
ecoli,114,0,3,44,1,
fertility,30,1,0,4,0.97,
haberman,80,19,0,16,0.81,
liver,51,16,90,110,0.76,
ionosphere,103,0,0,54,1,
mammo,82,1,70,140,0.99,
parkinson,112,1,0,39,0.99,
seeds,93,0,0,43,1,
blood_trans,161,37,41,145,0.81,
biodegrad,243,0,0,235,1,
breast,2,0,0,35,1,
ecoli,133,0,0,40,1,
fertility,30,2,0,4,0.94,
haberman,76,9,4,37,0.89,
liver,66,27,75,99,0.71,
ionosphere,80,0,0,34,1,
mammo,142,45,10,90,0.76,
parkinson,115,0,0,42,1,
seeds,105,0,0,38,1,
blood_trans,146,30,56,162,0.83,
biodegrad,243,2,0,225,0.99,
breast,32,0,3,2,1,
ecoli,113,0,1,41,1,
fertility,54,4,0,13,0.93,
haberman,75,5,5,32,0.94,
liver,68,27,74,113,0.72,
ionosphere,100,0,3,71,1,
mammo,125,12,27,122,0.91,
parkinson,113,0,0,47,1,
seeds,94,1,0,41,0.99,
blood_trans,159,23,43,165,0.87,
biodegrad,349,1,1,239,1,
breast,47,0,0,6,1,
ecoli,122,0,0,35,1,
fertility,30,5,0,1,0.86,
haberman,77,13,3,27,0.86,
liver,114,46,27,85,0.71,
ionosphere,80,0,0,37,1,
mammo,279,12,72,138,0.96,
parkinson,108,1,0,39,0.99,
seeds,98,0,0,42,1,
blood_trans,132,15,71,185,0.9,
biodegrad,368,0,0,240,1,
breast,34,0,1,2,1,
ecoli,116,0,1,35,1,
fertility,52,3,0,7,0.95,
haberman,80,5,0,31,0.94,
liver,87,30,54,100,0.74,
ionosphere,80,0,0,29,1,
mammo,123,37,29,96,0.77,
parkinson,115,0,0,34,1,
seeds,98,0,0,45,1,
blood_trans,143,12,60,188,0.92,
biodegrad,243,0,0,227,1,
breast,35,0,0,2,1,
ecoli,128,0,0,41,1,
fertility,69,0,0,14,1,
haberman,80,20,0,14,0.8,
liver,76,36,65,89,0.68,
ionosphere,105,0,0,51,1,
mammo,103,5,49,130,0.95,
parkinson,118,0,0,41,1,
seeds,100,0,0,38,1,
