file,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.5,0.1,30,26,260,0,0,180,1,
biodegrad,0.5,0.1,150,62,312,0,0,216,1,
breast,0.5,0.1,10,5,26,0,0,5,1,
ecoli,0.5,0.1,13,9,65,0,0,40,1,
fertility,0.5,0.1,27,10,39,0,0,10,1,
haberman,0.5,0.1,20,21,104,0,0,72,1,
liver,0.5,0.1,63,37,182,0,0,126,1,
ionosphere,0.5,0.1,40,39,104,0,0,72,1,
mammo,0.5,0.1,58,41,195,0,0,135,1,
parkinson,0.5,0.1,37,14,65,0,0,33,1,
seeds,0.5,0.1,11,8,65,0,0,40,1,
blood_trans,0.5,0.1,33,25,260,0,0,180,1,
biodegrad,0.5,0.1,154,68,312,0,0,216,1,
breast,0.5,0.1,8,7,24,0,2,7,1,
ecoli,0.5,0.1,9,9,65,0,0,41,1,
fertility,0.5,0.1,25,11,39,0,0,13,1,
haberman,0.5,0.1,30,19,104,0,0,72,1,
liver,0.5,0.1,62,36,182,0,0,126,1,
ionosphere,0.5,0.1,40,45,104,0,0,72,1,
mammo,0.5,0.1,51,39,195,0,0,135,1,
parkinson,0.5,0.1,29,14,65,0,0,33,1,
seeds,0.5,0.1,12,12,65,0,0,34,1,
blood_trans,0.5,0.1,30,28,258,0,2,180,1,
biodegrad,0.5,0.1,158,70,312,0,0,216,1,
breast,0.5,0.1,6,4,26,0,0,4,1,
ecoli,0.5,0.1,11,13,65,0,0,35,1,
fertility,0.5,0.1,29,11,39,0,0,11,1,
haberman,0.5,0.1,24,23,104,0,0,72,1,
liver,0.5,0.1,68,38,182,0,0,126,1,
ionosphere,0.5,0.1,50,37,104,0,0,72,1,
mammo,0.5,0.1,53,38,195,0,0,135,1,
parkinson,0.5,0.1,40,23,65,0,0,39,1,
seeds,0.5,0.1,11,9,65,0,0,37,1,
blood_trans,0.5,0.1,37,29,260,0,0,180,1,
biodegrad,0.5,0.1,161,80,312,0,0,216,1,
breast,0.5,0.1,6,3,26,0,0,4,1,
ecoli,0.5,0.1,13,12,65,0,0,40,1,
fertility,1,0.1,24,7,39,0,0,7,1,
haberman,0.5,0.1,21,21,104,0,0,72,1,
liver,0.5,0.1,56,38,182,0,0,126,1,
ionosphere,0.5,0.1,43,39,104,0,0,72,1,
mammo,1,0.1,43,27,195,0,0,135,1,
parkinson,0.5,0.1,33,24,65,0,0,38,1,
seeds,0.5,0.1,13,10,65,0,0,40,1,
blood_trans,0.5,0.1,26,25,260,0,0,180,1,
biodegrad,0.5,0.1,161,86,312,0,0,216,1,
breast,0.5,0.1,6,4,26,0,0,8,1,
ecoli,0.5,0.1,15,13,65,0,0,42,1,
fertility,0.5,0.1,31,14,39,0,0,14,1,
haberman,0.5,0.1,23,20,104,0,0,72,1,
liver,0.5,0.1,56,34,182,0,0,126,1,
ionosphere,0.5,0.1,50,43,104,0,0,72,1,
mammo,0.5,0.1,47,43,193,0,2,135,1,
parkinson,0.5,0.1,35,21,65,0,0,38,1,
seeds,0.5,0.1,8,8,65,0,0,37,1,
blood_trans,0.5,0.1,27,27,260,0,0,180,1,
biodegrad,0.5,0.1,145,69,312,0,0,216,1,
breast,0.5,0.1,5,5,26,0,0,5,1,
ecoli,0.5,0.1,10,11,65,0,0,39,1,
fertility,0.5,0.1,27,9,39,0,0,9,1,
haberman,0.5,0.1,28,22,104,0,0,72,1,
liver,0.5,0.1,67,37,182,0,0,126,1,
ionosphere,0.5,0.1,47,47,104,0,0,72,1,
mammo,0.5,0.1,51,42,195,0,0,135,1,
parkinson,0.5,0.1,32,21,65,0,0,42,1,
seeds,0.5,0.1,14,11,65,0,0,37,1,
blood_trans,0.5,0.1,27,26,260,0,0,180,1,
biodegrad,0.5,0.1,155,75,312,0,0,216,1,
breast,1.5,0.1,6,3,26,0,0,6,1,
ecoli,0.5,0.1,14,14,65,0,0,33,1,
fertility,1.5,0.1,30,7,39,0,0,12,1,
haberman,0.5,0.1,25,20,104,0,0,72,1,
liver,0.5,0.1,61,35,182,0,0,126,1,
ionosphere,0.5,0.1,41,43,104,0,0,72,1,
mammo,0.5,0.1,49,46,195,0,0,135,1,
parkinson,0.5,0.1,34,18,65,0,0,33,1,
seeds,0.5,0.1,14,11,65,0,0,36,1,
blood_trans,0.5,0.1,33,25,260,0,0,180,1,
biodegrad,1,0.1,167,57,312,0,0,216,1,
breast,0.5,0.1,7,4,26,0,0,5,1,
ecoli,0.5,0.1,14,11,65,0,0,37,1,
fertility,0.5,0.1,24,9,39,0,0,9,1,
haberman,0.5,0.1,23,21,104,0,0,72,1,
liver,0.5,0.1,64,37,182,0,0,126,1,
ionosphere,0.5,0.1,48,39,104,0,0,72,1,
mammo,0.5,0.1,47,34,195,0,0,135,1,
parkinson,0.5,0.1,31,21,65,0,0,37,1,
seeds,0.5,0.1,14,12,65,0,0,38,1,
blood_trans,0.5,0.1,34,28,260,0,0,180,1,
biodegrad,0.5,0.1,165,73,311,0,1,216,1,
breast,0.5,0.1,6,4,26,0,0,4,1,
ecoli,0.5,0.1,13,13,65,0,0,39,1,
fertility,1,0.1,28,6,39,0,0,10,1,
haberman,0.5,0.1,24,23,104,0,0,72,1,
liver,0.5,0.1,63,33,182,0,0,126,1,
ionosphere,0.5,0.1,42,42,104,0,0,72,1,
mammo,0.5,0.1,63,42,195,0,0,135,1,
parkinson,0.5,0.1,33,27,65,0,0,37,1,
seeds,0.5,0.1,15,11,65,0,0,34,1,
blood_trans,0.5,0.1,29,26,260,0,0,180,1,
biodegrad,0.5,0.1,166,75,312,0,0,216,1,
breast,0.5,0.1,5,5,26,0,0,5,1,
ecoli,0.5,0.1,11,11,65,0,0,30,1,
fertility,0.5,0.1,27,11,39,0,0,13,1,
haberman,0.5,0.1,26,25,104,0,0,72,1,
liver,0.5,0.1,81,35,182,0,0,126,1,
ionosphere,0.5,0.1,54,48,104,0,0,72,1,
mammo,0.5,0.1,58,40,195,0,0,135,1,
parkinson,0.5,0.1,28,15,65,0,0,33,1,
seeds,0.5,0.1,10,11,65,0,0,34,1,
