file,TN,FN,FP,TP,Kappa,
blood_trans,541,51,59,269,0.91,
biodegrad,717,2,3,358,1,
breast,29,0,6,2,1,
ecoli,221,1,0,64,1,
fertility,90,2,0,3,0.98,
haberman,239,22,1,36,0.92,
liver,420,212,0,0,0.66,
ionosphere,257,0,0,113,1,
mammo,399,76,51,145,0.84,
parkinson,216,0,0,63,1,
seeds,195,0,0,70,1,
blood_trans,554,118,46,184,0.82,
biodegrad,720,1,0,357,1,
breast,87,2,0,5,0.98,
ecoli,101,0,0,5,1,
fertility,90,3,0,6,0.97,
haberman,240,53,0,2,0.82,
liver,420,203,0,0,0.67,
ionosphere,240,0,0,64,1,
mammo,384,74,66,151,0.84,
parkinson,211,0,0,62,1,
seeds,193,1,0,65,0.99,
blood_trans,517,68,83,252,0.88,
biodegrad,719,0,1,358,1,
breast,2,0,0,30,1,
ecoli,216,0,0,67,1,
fertility,113,2,0,17,0.98,
haberman,240,21,0,41,0.92,
liver,420,211,0,0,0.67,
ionosphere,240,0,0,74,1,
mammo,397,50,53,166,0.89,
parkinson,209,0,0,66,1,
seeds,197,0,0,70,1,
blood_trans,521,92,79,228,0.85,
biodegrad,720,0,0,375,1,
breast,35,0,0,2,1,
ecoli,212,0,0,66,1,
fertility,90,3,0,6,0.97,
haberman,238,20,2,42,0.92,
liver,390,147,30,63,0.73,
ionosphere,240,0,0,98,1,
mammo,364,37,86,177,0.91,
parkinson,209,0,0,61,1,
seeds,198,0,0,71,1,
blood_trans,530,101,70,219,0.84,
biodegrad,720,1,0,356,1,
breast,35,0,0,2,1,
ecoli,217,0,0,73,1,
fertility,90,2,0,9,0.98,
haberman,239,29,1,25,0.89,
liver,420,202,0,0,0.68,
ionosphere,263,0,0,69,1,
mammo,426,76,24,149,0.85,
parkinson,212,0,0,64,1,
seeds,193,0,0,64,1,
blood_trans,546,109,54,195,0.83,
biodegrad,720,0,0,367,1,
breast,35,0,0,2,1,
ecoli,233,0,0,69,1,
fertility,90,0,0,8,1,
haberman,233,18,7,53,0.93,
liver,420,207,0,0,0.67,
ionosphere,240,0,0,50,1,
mammo,394,69,56,146,0.85,
parkinson,215,0,0,61,1,
seeds,201,0,4,65,1,
blood_trans,521,77,79,230,0.87,
biodegrad,719,2,1,359,1,
breast,32,0,3,2,1,
ecoli,214,0,0,69,1,
fertility,114,7,0,17,0.94,
haberman,239,29,1,26,0.89,
liver,420,224,0,0,0.65,
ionosphere,262,0,0,113,1,
mammo,425,56,25,158,0.88,
parkinson,213,0,0,64,1,
seeds,194,0,0,70,1,
blood_trans,523,58,77,234,0.9,
biodegrad,820,1,6,383,1,
breast,87,0,0,6,1,
ecoli,222,0,0,60,1,
fertility,90,2,0,8,0.98,
haberman,239,25,1,42,0.91,
liver,376,114,44,103,0.77,
ionosphere,240,0,0,62,1,
mammo,645,101,4,139,0.86,
parkinson,208,0,0,69,1,
seeds,198,0,0,62,1,
blood_trans,550,137,50,183,0.8,
biodegrad,840,0,4,384,1,
breast,34,0,1,2,1,
ecoli,217,0,0,60,1,
fertility,112,0,0,24,1,
haberman,240,11,0,47,0.96,
liver,420,202,0,0,0.68,
ionosphere,240,0,0,55,1,
mammo,412,85,38,133,0.83,
parkinson,215,0,0,66,1,
seeds,198,0,0,62,1,
blood_trans,519,65,81,255,0.89,
biodegrad,720,0,0,362,1,
breast,35,0,0,2,1,
ecoli,228,0,0,60,1,
fertility,129,2,0,18,0.98,
haberman,240,24,0,26,0.91,
liver,420,204,0,0,0.67,
ionosphere,267,3,0,71,0.99,
mammo,441,64,9,150,0.87,
parkinson,218,0,0,68,1,
seeds,198,2,2,65,0.99,
