file,cost,sigma,nSV_0,nSV_1,TN,FN,FP,TP,Kappa,
blood_trans,0.5,0.1,36,28,600,0,0,320,1,
biodegrad,0.5,0.1,228,76,720,0,0,384,1,
breast,0.5,0.1,12,6,60,0,0,6,1,
ecoli,0.5,0.1,12,11,150,0,0,66,1,
fertility,0.5,0.1,43,17,90,0,0,23,1,
haberman,0.5,0.1,26,23,240,0,0,128,1,
liver,0.5,0.1,70,40,420,0,0,224,1,
ionosphere,0.5,0.1,56,55,240,0,0,128,1,
mammo,0.5,0.1,73,47,450,0,0,240,1,
parkinson,0.5,0.1,39,19,150,0,0,63,1,
seeds,0.5,0.1,16,12,150,0,0,67,1,
blood_trans,0.5,0.1,39,24,600,0,0,320,1,
biodegrad,0.5,0.1,209,72,720,0,0,384,1,
breast,0.5,0.1,10,7,60,0,0,7,1,
ecoli,0.5,0.1,11,9,150,0,0,63,1,
fertility,0.5,0.1,40,12,90,0,0,20,1,
haberman,0.5,0.1,29,24,240,0,0,128,1,
liver,0.5,0.1,86,38,420,0,0,224,1,
ionosphere,0.5,0.1,59,63,240,0,0,128,1,
mammo,0.5,0.1,70,44,450,0,0,240,1,
parkinson,0.5,0.1,37,14,150,0,0,55,1,
seeds,0.5,0.1,19,16,150,0,0,63,1,
blood_trans,0.5,0.1,41,34,599,0,1,320,1,
biodegrad,0.5,0.1,218,88,720,0,0,384,1,
breast,0.5,0.1,7,4,60,0,0,4,1,
ecoli,0.5,0.1,16,15,150,0,0,65,1,
fertility,0.5,0.1,40,12,90,0,0,21,1,
haberman,0.5,0.1,29,27,240,0,0,128,1,
liver,0.5,0.1,81,37,420,0,0,224,1,
ionosphere,0.5,0.1,62,55,240,0,0,128,1,
mammo,0.5,0.1,70,44,450,0,0,240,1,
parkinson,0.5,0.1,53,30,150,0,0,70,1,
seeds,0.5,0.1,13,10,150,0,0,59,1,
blood_trans,0.5,0.1,38,30,600,0,0,320,1,
biodegrad,0.5,0.1,221,97,720,0,0,384,1,
breast,0.5,0.1,5,4,60,0,0,13,1,
ecoli,0.5,0.1,14,14,150,0,0,61,1,
fertility,0.5,0.1,38,17,90,0,0,29,1,
haberman,0.5,0.1,28,21,240,0,0,128,1,
liver,0.5,0.1,68,44,420,0,0,224,1,
ionosphere,0.5,0.1,56,53,240,0,0,128,1,
mammo,0.5,0.1,72,48,450,0,0,240,1,
parkinson,0.5,0.1,43,24,150,0,0,70,1,
seeds,0.5,0.1,14,13,150,0,0,67,1,
blood_trans,0.5,0.1,34,31,599,0,1,320,1,
biodegrad,0.5,0.1,211,99,720,0,0,384,1,
breast,0.5,0.1,8,4,60,0,0,6,1,
ecoli,0.5,0.1,18,14,150,0,0,68,1,
fertility,1,0.1,38,13,90,0,0,21,1,
haberman,0.5,0.1,23,22,240,0,0,128,1,
liver,0.5,0.1,74,35,420,0,0,224,1,
ionosphere,0.5,0.1,62,57,240,0,0,128,1,
mammo,0.5,0.1,61,46,449,0,1,240,1,
parkinson,0.5,0.1,40,23,150,0,0,63,1,
seeds,0.5,0.1,14,9,150,0,0,67,1,
blood_trans,0.5,0.1,36,30,600,0,0,320,1,
biodegrad,0.5,0.1,209,84,720,0,0,384,1,
breast,0.5,0.1,7,6,60,0,0,9,1,
ecoli,0.5,0.1,12,12,150,0,0,69,1,
fertility,0.5,0.1,44,15,90,0,0,19,1,
haberman,0.5,0.1,29,24,240,0,0,128,1,
